objID,u,r,i,g,z,finalredshift
1.23765E+18,20.1311,16.93082,16.4898,17.96851,16.12794,0.10595
1.23767E+18,18.90126,15.96767,15.53626,16.98055,15.17119,0.1061513
1.23767E+18,18.85425,15.97866,15.54699,16.9846,15.17873,0.1062687
1.23767E+18,18.83123,16.1313,15.67366,17.079,15.31291,0.1063259
1.23765E+18,20.73281,17.69861,17.26708,18.68253,16.92055,0.1064471
1.23767E+18,19.60683,16.76486,16.32321,17.78399,15.99228,0.1066616
1.23767E+18,19.5007,16.65071,16.24476,17.77321,15.81396,0.1066707
1.23765E+18,19.69543,16.6272,16.18556,17.65656,15.80273,0.1066857
1.23765E+18,19.68798,16.80333,16.38377,17.79238,16.00445,0.1069132
1.23767E+18,20.63441,17.5633,17.14395,18.59456,16.77801,0.1069745
1.23765E+18,18.57982,15.73669,15.31252,16.6956,14.94907,0.1071919
1.23765E+18,19.00153,15.87448,15.44554,16.91901,15.11299,0.1072874
1.23765E+18,20.3663,17.66621,17.25401,18.61054,16.91048,0.1076606
1.23765E+18,20.11276,17.2301,16.78471,18.2266,16.43308,0.1076671
1.23765E+18,19.67413,16.74007,16.27748,17.69715,15.90477,0.1081091
1.23767E+18,19.49342,16.38884,15.96225,17.38488,15.61419,0.1081821
1.23767E+18,19.53019,16.5779,16.13643,17.56098,15.79338,0.1082269
1.23765E+18,18.7316,16.32709,15.90482,17.16929,15.58347,0.1082572
1.23767E+18,20.47455,17.5844,17.17049,18.56225,16.82922,0.1083771
1.23767E+18,19.48153,16.42556,15.99806,17.4294,15.66734,0.1083817
1.23765E+18,18.62566,16.21627,15.79984,17.04097,15.50732,0.1084199
1.23765E+18,21.23579,17.62892,17.027,18.70251,16.69348,0.1088364
1.23765E+18,20.08202,16.97005,16.51754,17.96983,16.16956,0.1089733
1.23767E+18,20.22325,17.19318,16.78482,18.15469,16.4563,0.1089786
1.23767E+18,19.92386,17.01004,16.60164,17.96924,16.26545,0.1090343
1.23767E+18,19.8588,17.39707,16.95597,18.27807,16.63689,0.1091596
1.23765E+18,19.8151,16.82938,16.41791,17.81467,16.05527,0.1092479
1.23765E+18,20.20541,17.06519,16.61169,18.09222,16.24739,0.1093337
1.23767E+18,20.3811,17.37587,16.90612,18.4046,16.51622,0.1093492
1.23765E+18,20.11629,17.62186,17.29191,18.46281,16.99692,0.1093556
1.23765E+18,20.10549,16.93062,16.48641,17.96425,16.15137,0.1095285
1.23765E+18,19.56958,16.62087,16.14979,17.62617,15.73801,0.1097064
1.23767E+18,20.65676,17.66438,17.24192,18.70965,16.90392,0.1100556
1.23767E+18,19.13472,16.38429,15.9188,17.40071,15.52676,0.1103917
1.23767E+18,19.27779,16.44883,16.00337,17.4439,15.65262,0.1106062
1.23765E+18,19.3444,16.61515,16.23148,17.5352,15.90975,0.1108167
1.23765E+18,20.26245,17.19281,16.77389,18.19995,16.403,0.1112607
1.23767E+18,18.99228,16.03075,15.61223,17.02254,15.28351,0.1121517
1.23767E+18,20.56209,17.36259,16.89204,18.41956,16.51743,0.1132491
1.23767E+18,20.09971,16.99647,16.54608,18.03778,16.22775,0.1148146
1.23765E+18,20.70156,17.73837,17.31803,18.73402,16.96939,0.1149253
1.23767E+18,19.88169,17.08932,16.62814,18.0553,16.36002,0.1157212
1.23767E+18,19.54419,16.44124,16.00796,17.45011,15.67303,0.1164025
1.23767E+18,21.06019,18.05294,17.53154,19.15467,17.146,0.1173923
1.23765E+18,20.33721,17.60141,17.16984,18.58711,16.82226,0.1182282
1.23767E+18,19.37257,16.55586,16.07636,17.53227,15.69279,0.1182645
1.23765E+18,20.48529,17.46005,17.00352,18.46833,16.6514,0.1187184
1.23765E+18,20.26977,17.47722,17.03518,18.50082,16.6845,0.1189394
1.23767E+18,18.99982,16.01301,15.58299,17.04153,15.22669,0.1190529
1.23765E+18,19.65106,16.57663,16.12663,17.64081,15.75204,0.1202664
